product_name,category,price,stock,units_sold,competitor_price,discount,target_price
Laptop,Electronics,55000,20,120,56000,5,55500
Gaming Laptop,Electronics,85000,12,60,86000,4,85500
Desktop Computer,Electronics,48000,15,95,48500,6,48200
Monitor,Electronics,12000,30,180,11800,8,11950
Keyboard,Accessories,1200,80,450,1250,10,1220
Mouse,Accessories,800,100,600,820,12,810
Wireless Mouse,Accessories,1500,60,350,1520,10,1510
Headphones,Audio,3500,50,280,3550,8,3520
Bluetooth Speaker,Audio,4500,40,240,4600,7,4550
Smartphone,Electronics,25000,35,220,25200,5,25100
Tablet,Electronics,32000,18,130,32500,6,32300
Smartwatch,Wearables,8500,28,260,8600,8,8550
Fitness Band,Wearables,3500,40,300,3550,10,3520
Printer,Office,15000,10,70,15100,5,15050
Scanner,Office,12000,8,55,12100,4,12050
USB Drive,Accessories,700,150,800,710,15,705
External Hard Disk,Storage,5500,45,210,5550,8,5520
SSD 512GB,Storage,6500,38,190,6550,6,6520
SSD 1TB,Storage,9500,22,120,9600,5,9550
Power Bank,Accessories,1800,75,420,1820,10,1810
Router,Networking,3200,30,180,3250,7,3220
Webcam,Accessories,2800,20,140,2850,6,2820
Microphone,Audio,4200,18,130,4250,5,4220
Projector,Electronics,38000,7,40,38200,4,38100
Camera,Electronics,65000,6,35,65500,3,65200
Tripod,Photography,2500,25,160,2550,8,2520
Memory Card,Storage,1200,90,500,1220,10,1210
Graphics Card,Computer Parts,42000,10,55,42500,5,42300
Processor,Computer Parts,28000,15,85,28200,6,28100
Motherboard,Computer Parts,18000,18,95,18100,5,18050
RAM 8GB,Computer Parts,3200,60,350,3250,10,3230
RAM 16GB,Computer Parts,6200,40,220,6250,8,6220
CPU Cooler,Computer Parts,3500,22,140,3550,7,3520
Cabinet,Computer Parts,4500,20,120,4550,6,4520
Gaming Chair,Furniture,12000,15,80,12200,5,12100
Office Chair,Furniture,7500,25,160,7600,7,7550
Office Desk,Furniture,9000,12,100,9100,5,9050
LED TV,Electronics,42000,10,70,42500,4,42300
Air Conditioner,Home Appliances,38000,8,50,38200,5,38100
Refrigerator,Home Appliances,32000,9,65,32200,5,32100
Washing Machine,Home Appliances,28000,11,75,28200,6,28100
Microwave Oven,Home Appliances,12000,14,110,12100,8,12050
Electric Kettle,Home Appliances,1800,35,300,1820,10,1810
Mixer Grinder,Home Appliances,4500,20,180,4550,8,4520
Ceiling Fan,Home Appliances,2500,40,280,2520,10,2510
Water Purifier,Home Appliances,14000,12,95,14100,5,14050
Vacuum Cleaner,Home Appliances,9500,16,90,9550,6,9520
Iron Box,Home Appliances,1800,25,220,1820,8,1810
Air Purifier,Home Appliances,16000,10,70,16100,5,16050
Coffee Maker,Home Appliances,6500,18,120,6550,6,6520
