name,sku,category,base_price,current_price,cost_price,stock_quantity,revenue,description,image_url
NovaTech Wireless Earbuds Lite,ELC-101,Electronics,235.49,176.12,84.67,82,22367.24,Ergonomic NovaTech Wireless Earbuds Lite from the Electronics range. Built to last with premium materials. Retails at $235.49. In stock and ready to ship.,
Skyline Audio Mechanical Keyboard Ultra,ELC-102,Electronics,415.29,322.11,228.95,21,79883.28,Compact Skyline Audio Mechanical Keyboard Ultra from the Electronics range. Designed for daily use. Retails at $415.29. In stock and ready to ship.,
NovaTech Mechanical Keyboard Max,ELC-103,Electronics,335.89,264.95,140.25,0,7948.5,Premium-quality NovaTech Mechanical Keyboard Max from the Electronics range. Perfect for professionals. Retails at $335.89. Currently out of stock - backorder available.,
NovaTech Smart Plug Lite,ELC-104,Electronics,749.87,632.67,448.25,99,132228.03,Premium-quality NovaTech Smart Plug Lite from the Electronics range. Built to last with premium materials. Retails at $749.87. In stock and ready to ship.,
NovaTech Mechanical Keyboard Lite,ELC-105,Electronics,418.99,371.57,185.34,195,210308.62,Durable NovaTech Mechanical Keyboard Lite from the Electronics range. Built to last with premium materials. Retails at $418.99. In stock and ready to ship.,
VoltEdge Wireless Mouse Smart,ELC-106,Electronics,257.54,233.09,153.01,15,225164.94,Premium-quality VoltEdge Wireless Mouse Smart from the Electronics range. Built to last with premium materials. Retails at $257.54. In stock and ready to ship.,
Skyline Audio Digital Photo Frame Elite,ELC-107,Electronics,207.1,169.79,121.47,30,170299.37,Ergonomic Skyline Audio Digital Photo Frame Elite from the Electronics range. Perfect for professionals. Retails at $207.10. In stock and ready to ship.,
Skyline Audio Mechanical Keyboard Elite,ELC-108,Electronics,212.99,195.85,118.07,212,68351.65,Lightweight Skyline Audio Mechanical Keyboard Elite from the Electronics range. Perfect for professionals. Retails at $212.99. In stock and ready to ship.,
Skyline Audio LED Monitor Pro,ELC-109,Electronics,618.64,459.59,328.81,143,121331.76,Premium-quality Skyline Audio LED Monitor Pro from the Electronics range. A customer favorite. Retails at $618.64. In stock and ready to ship.,
Skyline Audio External SSD Air,ELC-110,Electronics,466.75,345.99,220.6,67,107602.89,Ergonomic Skyline Audio External SSD Air from the Electronics range. Designed for daily use. Retails at $466.75. In stock and ready to ship.,
Skyline Audio USB-C Hub One,ELC-111,Electronics,37.13,33.63,24.0,45,3396.63,Premium-quality Skyline Audio USB-C Hub One from the Electronics range. Built to last with premium materials. Retails at $37.13. In stock and ready to ship.,
VoltEdge Power Bank One,ELC-112,Electronics,853.22,642.5,390.83,315,475450.0,Compact VoltEdge Power Bank One from the Electronics range. Perfect for professionals. Retails at $853.22. In stock and ready to ship.,
Skyline Audio Wireless Mouse Max,ELC-113,Electronics,238.15,174.52,79.64,78,102792.28,Premium-quality Skyline Audio Wireless Mouse Max from the Electronics range. Designed for daily use. Retails at $238.15. In stock and ready to ship.,
PulseCore Bluetooth Speaker Ultra,ELC-114,Electronics,265.05,216.57,132.49,366,37683.18,Lightweight PulseCore Bluetooth Speaker Ultra from the Electronics range. Built to last with premium materials. Retails at $265.05. In stock and ready to ship.,
NovaTech Bluetooth Speaker Smart,ELC-115,Electronics,331.77,266.15,188.74,0,10646.0,Premium-quality NovaTech Bluetooth Speaker Smart from the Electronics range. Designed for daily use. Retails at $331.77. Currently out of stock - backorder available.,
Apex Digital Webcam Elite,ELC-116,Electronics,724.51,537.48,272.76,29,130070.16,Premium-quality Apex Digital Webcam Elite from the Electronics range. Perfect for professionals. Retails at $724.51. In stock and ready to ship.,
Skyline Audio Bluetooth Speaker Pro,ELC-117,Electronics,593.88,491.8,223.49,124,145572.8,Lightweight Skyline Audio Bluetooth Speaker Pro from the Electronics range. Designed for daily use. Retails at $593.88. In stock and ready to ship.,
VoltEdge Mechanical Keyboard Pro,ELC-118,Electronics,887.06,685.73,469.88,2,430638.44,Compact VoltEdge Mechanical Keyboard Pro from the Electronics range. Built to last with premium materials. Retails at $887.06. In stock and ready to ship.,
NovaTech Wi-Fi Router Pro,ELC-119,Electronics,678.21,496.07,310.17,146,52583.42,Durable NovaTech Wi-Fi Router Pro from the Electronics range. Perfect for professionals. Retails at $678.21. In stock and ready to ship.,
NovaTech Digital Photo Frame Ultra,ELC-120,Electronics,529.44,385.4,182.91,79,44706.4,Compact NovaTech Digital Photo Frame Ultra from the Electronics range. Built to last with premium materials. Retails at $529.44. In stock and ready to ship.,
PulseCore Mechanical Keyboard Air,ELC-121,Electronics,611.08,476.64,259.7,15,75785.76,Compact PulseCore Mechanical Keyboard Air from the Electronics range. Built to last with premium materials. Retails at $611.08. In stock and ready to ship.,
PulseCore Digital Photo Frame Max,ELC-122,Electronics,793.75,630.16,313.39,179,91373.2,Durable PulseCore Digital Photo Frame Max from the Electronics range. A customer favorite. Retails at $793.75. In stock and ready to ship.,
NovaTech Digital Photo Frame Max,ELC-123,Electronics,673.32,505.72,270.32,25,693847.84,Compact NovaTech Digital Photo Frame Max from the Electronics range. Designed for daily use. Retails at $673.32. In stock and ready to ship.,
